abv %,cost,# ratings,community rating,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral,type_MEZCAL AÑEJO,type_MEZCAL JOVEN,type_MEZCAL REPOSADO,type_RAICILLA,type_SOTOL,type_TEQUILA AÑEJO,type_TEQUILA BLANCO,type_TEQUILA EXTRA AÑEJO,type_TEQUILA JOVEN,type_TEQUILA REPOSADO
40.0,2,44,4.37,98,0,40,40,45,10,0,70,25,20,10,25,20,65,50,False,False,False,False,False,False,True,False,False,False
58.5,5,37,4.41,98,40,40,40,75,25,15,70,75,60,20,10,40,80,70,False,True,False,False,False,False,False,False,False,False
49.0,4,71,4.5,98,75,60,60,90,65,30,70,80,80,50,40,90,85,60,False,True,False,False,False,False,False,False,False,False
43.0,5,8,4.11,98,70,65,75,30,65,15,80,55,30,55,55,20,90,30,False,False,False,False,False,False,False,True,False,False
40.0,5,7,4.25,97,10,20,55,55,15,35,50,30,0,0,0,45,30,0,False,False,False,False,False,True,False,False,False,False
40.0,4,836,4.59,97,78,87,87,79,70,81,96,87,70,81,83,79,91,85,False,False,False,False,False,False,False,False,False,True
50.0,4,31,4.31,97,5,20,70,45,30,5,80,60,15,10,30,5,15,15,False,False,False,False,False,False,False,True,False,False
40.0,5,52,4.78,97,25,20,40,40,15,0,80,75,5,5,0,15,60,0,False,False,False,False,False,False,False,True,False,False
40.0,4,120,4.36,97,10,15,30,20,15,0,75,60,10,5,0,5,40,0,False,False,False,False,False,True,False,False,False,False
53.7,5,17,4.52,97,30,40,30,65,10,40,85,90,35,0,0,40,99,35,False,True,False,False,False,False,False,False,False,False
42.5,5,2,4.13,96,35,50,65,70,10,50,55,45,10,0,0,25,20,35,False,False,False,False,False,False,False,True,False,False
46.0,3,38,4.45,96,5,15,15,25,20,5,60,50,10,5,10,10,40,0,False,False,False,False,False,False,True,False,False,False
43.5,3,11,4.2,96,75,45,45,10,15,10,55,85,75,70,65,65,90,35,True,False,False,False,False,False,False,False,False,False
40.0,5,29,4.79,96,20,45,0,0,8,0,95,5,0,15,0,0,25,0,False,False,False,False,False,True,False,False,False,False
43.0,4,13,4.58,96,25,25,40,50,10,5,70,60,0,0,0,20,50,20,False,False,False,False,False,False,False,True,False,False
49.9,4,26,4.26,96,90,90,45,90,20,30,85,75,35,25,70,35,50,0,False,True,False,False,False,False,False,False,False,False
