name,type,cask,location,age,abv %,cost,badge,# ratings,community rating,flavor summary,expert,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral
4 COPAS TEQUILA BLANCO,TEQUILA BLANCO,UNAGED,"JALISCO, MEXICO",UNAGED,40.0,2,4 COPAS ,44,4.37,RICH & FRUITY,JACK ROBERTIELLO,98,0,40,40,45,10,0,70,25,20,10,25,20,65,50
MEZCAL LOS SIETE MISTERIOS PECHUGA,MEZCAL JOVEN,NONE,"OAXACA, MEXICO",NAS,58.5,5,LOS SIETE MISTERIOS ,37,4.41,FRUITY & SWEET,OMARI WHEAT,98,40,40,40,75,25,15,70,75,60,20,10,40,80,70
DEL MAGUEY ARROQUEÑO MEZCAL,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",unknown,49.0,4,DEL MAGUEY ,71,4.5,TART & HERBAL,OMARI WHEAT,98,75,60,60,90,65,30,70,80,80,50,40,90,85,60
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 9 AÑOS,TEQUILA EXTRA AÑEJO,AMERICAN OAK EX-RED WINE BARRELS (85%) AND USED FRENCH OAK (15%),"LOS ALTOS, JALISCO, MEXICO",9 YEAR,43.0,5,FUENTESECA ,8,4.11,FRUITY & RICH,DUNCAN MCROBERTS,98,70,65,75,30,65,15,80,55,30,55,55,20,90,30
MIJENTA TEQUILA AÑEJO GRAN RESERVA,TEQUILA AÑEJO,"AMERICAN WHITE OAK, FRENCH OAK, FRENCH ACACIA BARRELS, CHERRY OAK CASKS","LOS ALTOS, JALISCO, MEXICO",NAS,40.0,5,MIJENTA ,7,4.25,HERBAL & SPICY,STEPHANIE MORENO,97,10,20,55,55,15,35,50,30,0,0,0,45,30,0
CLASE AZUL TEQUILA REPOSADO,TEQUILA REPOSADO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,4,CLASE AZUL ,836,4.59,RICH & FRUITY,BROCK SCHULTE,97,78,87,87,79,70,81,96,87,70,81,83,79,91,85
DULCE VIDA EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,EX-RED WINE BARRELS,"LOS ALTOS, JALISCO, MEXICO",5 YEAR,50.0,4,DULCE VIDA ,31,4.31,RICH & SPICY,RON BECHTOL,97,5,20,70,45,30,5,80,60,15,10,30,5,15,15
TEQUILA TAPATIO EXCELENCIA GRAN RESERVA LOT 1,TEQUILA EXTRA AÑEJO,"NEW, CHARRED AMERICAN OAK; RESTED IN GLASS","LOS ALTOS, JALISCO, MEXICO",NAS,40.0,5,TEQUILA TAPATIO ,52,4.78,RICH & SWEET,AMANDA SCHUSTER,97,25,20,40,40,15,0,80,75,5,5,0,15,60,0
FORTALEZA AÑEJO TEQUILA,TEQUILA AÑEJO,USED WHISKEY AMERICAN OAK,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,4,TEQUILA FORTALEZA ,120,4.36,RICH & SWEET,AMANDA SCHUSTER,97,10,15,30,20,15,0,75,60,10,5,0,5,40,0
EL JOLGORIO ARROQUEÑO MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,53.7,5,EL JOLGORIO ,17,4.52,FRUITY & SWEET,OMARI WHEAT,97,30,40,30,65,10,40,85,90,35,0,0,40,99,35
EL TESORO 85TH ANNIVERSARY EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,EX-BOOKER'S BOURBON 30TH ANNIVERSARY BARRELS,"LOS ALTOS, JALISCO, MEXICO",NAS,42.5,5,EL TESORO ,2,4.13,HERBAL & SPICY,STEPHANIE MORENO,96,35,50,65,70,10,50,55,45,10,0,0,25,20,35
